"","workerid","feedback_seenBefore","feedback_anyProblems","feedback_problemDescription","feedback_comments","feedback_1"
"1","62c5f85ccf34c8d9c0650f6e","No","No","","",NA
"2","661c09a749790db73f8faba5","No","No","","The experiment was enjoyable and very engaging. I did not experience any issues while performing the experiment.",NA
"3","66315563a848526fcfa7555b","Yes","No","","",NA
"4","66da162f5538535e93490441","No","No","","It was an interesting experiment for sure",NA
"5","676956116c1a3416bf7b2afe","No","No","","",NA
"6","695ea002344d7ca1605c747a","No","No","","",NA
"7","6965bd850ce22095dd7a84ca","No","No","","",NA
"8","6978d830c5d415696508430d","Yes","No","","",NA
"9","6987875a0a8fa6ed9ef00726","No","No","","I really enjoyed this study, experiment 1 and 2",NA
"10","699b610e2ba4bade6f39121b","Yes","No","","This was a lot of fun. Well Done!",NA
"11","699cebf39bc275a312ffd51c","Yes","No","","",NA
"12","699e3cc79b0d3d96b469ca49",NA,NA,NA,NA,0
"13","69a0734d1d433d3694c8438f","No","No","","",NA
"14","69a6eb2bc679065ed1cecc51","Yes","Yes","","nothing",NA
"15","69a8cff018bead25e4a5d848","No","Yes","Two clips had a problem loading. But the screen said hit next and I did and then it played","",NA
"16","69b5c6bdbcf55371066f5e73","No","No","","",NA
"17","69ba37faee13f176e7635323","No","No","","",NA
"18","69bdf2afe629d42bfc47997f","No","No","","That was difficult to watch. Nathan is too immoral to become famous in my opinion. Really gross.",NA
"19","69c093d33989aa791c4e8b2d","No","No","","",NA
"20","69c1256faa88d6296c98d745","No","No","","",NA
"21","69c2f0033339865c279814ca","No","No","","Nothing to note",NA
"22","69c6ec3a92185003cf70ded5","No","No","","",NA
"23","69cc1fac2b52b1c4dd21cc7d","No","No","","the last part was hilarious",NA
"24","69cec122e3cb56c2e7000c6b","No","No","","",NA
"25","69d2a8765e19038ab2fc0f56","No","No","","i wish more studies were like this it was enjoyable and made me want to watch the show",NA
"26","69d5632f4815bcc4cb7242bf","No","No","","none",NA
"27","69daf476f6bc0d990581aca6","Yes","No","","",NA
"28","69dbf4749918745fc7d8e820","No","No","","It was a cute show that made me laugh.",NA
"29","69dc76f0a77a620367d666ec","No","No","","",NA
"30","69dfe696c433039b7add8013","Yes","No","","I thought this was really fun and interesting!",NA
"31","69e816058da70eddb5dbc3e1","No","No","","This was so uncomfortable to watch. Nathan's approach was grossly manipulative.",NA
"32","69e957ad6c65e153a1c65ae2","No","No","","I felt like the scenario seemed a bit fake and acted out is all.",NA
"33","69ed15278090fe4438301d5c","No","No","","none",NA
"34","69efe0b03221edd72686c185","Yes","No","","I loved the whole thing! i love this show and the word part was fun too.",NA
"35","69f0438cc141b27ed949788e","No","No","","I thought the experiment was interesting and fun.",NA
"36","69f3d4f3fb7630947c56f1eb","No","Yes","2 of the videos didn't load and it told me to skip ahead to the next part. I would have liked to see them.","Very clear and easy to understand.",NA
"37","69f6484996726366cacd162c","No","No","","",NA
"38","69f674db81cb46678aae6391","Yes","No","","I've seen many episodes of the show before and I've also watched the Rehearsal, I haven't seen the episode from this survey though, with the antique shop. I will say, some of the question sets seemed like they were coming BEFORE the related video, I did my best to answer them but it seemed like I think two of them had the questions beforehand which made it hard to know how to answer them lol",NA
"39","69f7b962446b32b08d58a1df","No","No","","",NA
"40","69f86a04fe802de5002bb70b","Yes","Yes","One failed to load and I had to redo the entire thing.","It was hilarious",NA
"41","69f8db35f08d6c337883fcb4","No","No","","Unbelievable.",NA
"42","69fb3314a5e95601464d1fea","No","No","","interesting to answer",NA
"43","69fb86296fb6f0919bf31075","No","No","","This was such a different study, one that I have never experienced, but that I really enjoyed. I wish more studies were like this! The only thing that I had to mention was that during the study, it froze up on me, so I had to restart it. Other than that, everything else was great!",NA
"44","69fcc8642de981c893eb6958","No","No","","",NA
"45","69fce9e45d612732dd1ae4e2","Yes","No","","",NA
"46","6a00b0ca46e3f2822d0349b6","Yes","No","","",NA
"47","6a00dbcc626a780a8e5c07a4",NA,NA,NA,NA,0
"48","6a012d3c523e7311f4e55f61","No","No","","",NA
"49","6a01e843af8198a220b44a18","No","No","","",NA
"50","6a021dc98c730b8d3ce0deca","No","No","","",NA
"51","6a023ad806e8158958e73b75",NA,NA,NA,NA,0
"52","6a05131f0ad03d07dd77178e","Yes","No","","It seemed like some of the questions you asked preceded the clips for which they were intended.  For example, you asked JJ's reaction to the policy before he even had a chance to react to it.",NA
"53","6a07687bad5809e8867bdffb","No","No","","",NA
"54","6a0a0fd9f370053c3505dc0f","No","No","","",NA
"55","6a0b756dd47d16a4c82f5589","Yes","No","","",NA
"56","6a0dfefeb75ae8ac09c192c6","No","No","","is This a real show? Its hilarious if so",NA
"57","6a0e2d716e90edf1ea83dce1","No","No","","",NA
"58","6a0fdfd2db4241c9e5eca29a","No","No","","Oh, I thought it was hilarious. I don't think I've done a better study. So, thank you for this.",NA
"59","6a14434573bcee3f17b7f762","No","Yes","There was 2 clips that wouldnt play","All good, everything went well!",NA
"60","6a14c84872f3851ab32e8c01","No","Yes","there were sections missing, like I didn't get to see JJ's reaction to being told the you break it you buy it revelation, or Emily's reaction to that, but you quizzed me on it. (Unless the point was for me to guess how I'd think they would react)","",NA
"61","6a14e67cf20909f60e34ae64","No","No","","These two experiments were a lot of fun. It was definitely a different experience. And it's a show I definitely want to try to see in the future. I was annoyed at myself a few times, because I was trying to watch everything in the clips, but I ended up missing a couple of answers (like realizing it was liquor and not beer when Nathan and JJ were drinking).",NA
"62","6a14ed7d826b3c0b54334269","Yes","No","","It was really interesting and the episode of Nathan For You was hilarious.",NA
"63","6a150fcbc5238897c2c9408e","Yes","No","","I had to answer the door and missed one question",NA
"64","6a18b37c0157d881234ed29f","Yes","No","","At the end of part 1, I tried multiple times to record my response about why I answered the way I did, but was unable to despite the recordings earlier in the experiment working fine. My answer was that each face had a clear emotion on it, from happy to neutral to angry.",NA
"65","6a199661a2f63c5bf9835b2e","No","No","","",NA
"66","6a1a3e6d47ea4b557072cc4d","No","Yes","The audio may have been a bit delayed for some of the clips","",NA
"67","6a1ae40320c9511f890515f7","No","No","","n/a",NA
"68","6a1b544246f12219f033d3c3","No","No","","It was pretty funny. Never seen this show before.",NA
"69","6a1cb95bf369926ac77ea9e5","No","Yes","2 clips didn't load but I was still able to follow the story.","",NA
"70","6a1de36b3f5c6160ff6bf6a4","No","No","","",NA
"71","6a1f832105dd8c89b5e930ad","No","No","","",NA
"72","6a2222ff6e1036656b0d5d08","Yes","No","","",NA
"73","6a232745f21e165e2b54ed58","No","Yes","","",NA
"74","6a2482e9af72b55296872b0d","No","No","","Pretty cool experience",NA
"75","6a2589e7b0645f2f7f1cc52c","No","Yes","The videos did not seem to come at the right time according to the questions.  The video that explained the question was shown after it was asked on some of these.","",NA
"76","6a3607f677860830aca5bdeb","No","No","","",NA
"77","62c5f85ccf34c8d9c0650f6e",NA,NA,NA,NA,0
"78","661c09a749790db73f8faba5",NA,NA,NA,NA,0
"79","66315563a848526fcfa7555b",NA,NA,NA,NA,0
"80","66da162f5538535e93490441",NA,NA,NA,NA,0
"81","676956116c1a3416bf7b2afe",NA,NA,NA,NA,0
"82","695ea002344d7ca1605c747a",NA,NA,NA,NA,0
"83","6965bd850ce22095dd7a84ca",NA,NA,NA,NA,0
"84","6978d830c5d415696508430d",NA,NA,NA,NA,0
"85","6987875a0a8fa6ed9ef00726",NA,NA,NA,NA,0
"86","699b610e2ba4bade6f39121b",NA,NA,NA,NA,0
"87","699cebf39bc275a312ffd51c",NA,NA,NA,NA,0
"88","699e3cc79b0d3d96b469ca49",NA,NA,NA,NA,0
"89","69a0734d1d433d3694c8438f",NA,NA,NA,NA,0
"90","69a6eb2bc679065ed1cecc51",NA,NA,NA,NA,0
